ID,time created, User, Followers, RTs, Favorites
1101269757989408769,Thu Feb 28 23:55:45 +0000 2019,drsiobahncday,909,2,0
1101268384908537856,Thu Feb 28 23:50:18 +0000 2019,josephpwilson,2155,0,12
1101268288661868545,Thu Feb 28 23:49:55 +0000 2019,jeremyferguson8,268,5,0
1101268018477199360,Thu Feb 28 23:48:50 +0000 2019,PlayCraftLearn,38027,4,29
1101267551248560129,Thu Feb 28 23:46:59 +0000 2019,acthealthy,456,4,0
1101267295723229184,Thu Feb 28 23:45:58 +0000 2019,KumarAGarg,45341,5,0
1101267049337241600,Thu Feb 28 23:44:59 +0000 2019,LisaOckerman,816,3,0
1101265709282349056,Thu Feb 28 23:39:40 +0000 2019,josephpwilson,2155,4,0
1101264443244199936,Thu Feb 28 23:34:38 +0000 2019,jennynash7,175,1,10
1101263967366926336,Thu Feb 28 23:32:44 +0000 2019,cxstephens,561,3,0
1101262657984884737,Thu Feb 28 23:27:32 +0000 2019,wargojon,2256,4,0
1101260525407657984,Thu Feb 28 23:19:04 +0000 2019,naomiharm,11673,4,0
1101257524408471553,Thu Feb 28 23:07:08 +0000 2019,milsteinprogram,84,6,0
1101257301053358082,Thu Feb 28 23:06:15 +0000 2019,CSforALL,13025,4,0
1101257128176697344,Thu Feb 28 23:05:34 +0000 2019,stanleyobruche1,143,30,0
1101256051062534144,Thu Feb 28 23:01:17 +0000 2019,9dotscommunity,522,4,11
1101255999678304262,Thu Feb 28 23:01:05 +0000 2019,AFineMishkin,574,7,0
1101255694244872192,Thu Feb 28 22:59:52 +0000 2019,janetliao33,323,4,16
1101254954428350466,Thu Feb 28 22:56:56 +0000 2019,VinnyCSed,1209,2,10
1101254090473041921,Thu Feb 28 22:53:30 +0000 2019,SunannaC,2122,5,26
1101253973296574464,Thu Feb 28 22:53:02 +0000 2019,Inspiredtoteach,2773,7,0
1101253934302162944,Thu Feb 28 22:52:52 +0000 2019,Inspiredtoteach,2773,2,0
1101253139984990208,Thu Feb 28 22:49:43 +0000 2019,janetliao33,323,0,2
1101252798526631936,Thu Feb 28 22:48:22 +0000 2019,Inspiredtoteach,2773,2,0
1101252482569854983,Thu Feb 28 22:47:06 +0000 2019,aramabudallh,385,7,0
1101252226599682048,Thu Feb 28 22:46:05 +0000 2019,mrosvhs,432,0,0
1101251930536452097,Thu Feb 28 22:44:55 +0000 2019,Bijesse,218,10,0
1101251524309762048,Thu Feb 28 22:43:18 +0000 2019,StephWortel,832,2,0
1101251168112533504,Thu Feb 28 22:41:53 +0000 2019,Inspiredtoteach,2773,14,0
1101251154711859200,Thu Feb 28 22:41:50 +0000 2019,YouthCodeJam,245,2,5
