ID,time created, User, Followers, RTs, Favorites
1101270264606875655,Thu Feb 28 23:57:46 +0000 2019,WildeGillian,532,3,0
1101269978727309313,Thu Feb 28 23:56:38 +0000 2019,Taylor96159849,0,0,0
1101269542221828098,Thu Feb 28 23:54:54 +0000 2019,Shakti74572,1986,108,0
1101268843861807104,Thu Feb 28 23:52:07 +0000 2019,GoudreauFrancis,3370,0,0
1101268398678269953,Thu Feb 28 23:50:21 +0000 2019,HappiJason,353,0,1
1101268393263431680,Thu Feb 28 23:50:20 +0000 2019,elevenbrian,4696,0,0
1101268283334881280,Thu Feb 28 23:49:53 +0000 2019,SaraEMole,861,2,5
1101268268323504128,Thu Feb 28 23:49:50 +0000 2019,shilo_647,39,0,4
1101268139537457152,Thu Feb 28 23:49:19 +0000 2019,Ctruth4all,559,0,2
1101268009925132298,Thu Feb 28 23:48:48 +0000 2019,USofA_Strong,934,108,0
1101267786276487168,Thu Feb 28 23:47:55 +0000 2019,11dawny11,274,1,4
1101267406440333312,Thu Feb 28 23:46:24 +0000 2019,LuccketiMandy,1000,2,0
1101267301251203072,Thu Feb 28 23:45:59 +0000 2019,justine_nolan,1500,5,0
1101267181956825089,Thu Feb 28 23:45:31 +0000 2019,ilVeleno,1485,5,0
1101267159836213249,Thu Feb 28 23:45:26 +0000 2019,evenowens,632,108,0
1101267028046958593,Thu Feb 28 23:44:54 +0000 2019,Nanchinian,7439,108,0
1101266746625933313,Thu Feb 28 23:43:47 +0000 2019,twindad031207,309,108,0
1101266561740861440,Thu Feb 28 23:43:03 +0000 2019,VistaBellaOcean,941,1,0
1101266239769337857,Thu Feb 28 23:41:46 +0000 2019,somedocs,3949,1,0
1101266106596184067,Thu Feb 28 23:41:15 +0000 2019,C4Cruickshank,653,0,5
1101266077747740672,Thu Feb 28 23:41:08 +0000 2019,90Fak,36,0,3
1101266055081664518,Thu Feb 28 23:41:02 +0000 2019,LaunchHack,4501,0,0
1101265874852315138,Thu Feb 28 23:40:19 +0000 2019,Roosmama1,3741,108,0
1101265726671855616,Thu Feb 28 23:39:44 +0000 2019,omahacchoir,552,0,3
1101265542760009728,Thu Feb 28 23:39:00 +0000 2019,KristenStieffel,955,0,0
1101265435276820481,Thu Feb 28 23:38:34 +0000 2019,cfminty,1990,24,0
1101265309896507392,Thu Feb 28 23:38:05 +0000 2019,Darren_Camo,523,0,6
1101264943611957249,Thu Feb 28 23:36:37 +0000 2019,GeoSuperGirl,1294,9,0
1101264910808481793,Thu Feb 28 23:36:29 +0000 2019,pleasesaveour,2118,1,0
1101264791220469762,Thu Feb 28 23:36:01 +0000 2019,txWebDesignSEO,45,1,0
1101264740955897858,Thu Feb 28 23:35:49 +0000 2019,Charlotte_YMCA,4523,3,0
1101264683011620864,Thu Feb 28 23:35:35 +0000 2019,JamesOSM,1312,3,0
1101264596059516928,Thu Feb 28 23:35:14 +0000 2019,CobaltDaisy,6123,108,0
1101264436315197441,Thu Feb 28 23:34:36 +0000 2019,louis_riehm,447,1,0
1101263979471609856,Thu Feb 28 23:32:47 +0000 2019,DiasporaConnect,7299,10,0
1101263839956369408,Thu Feb 28 23:32:14 +0000 2019,LadyJudi,9904,108,0
1101263742770262016,Thu Feb 28 23:31:51 +0000 2019,nicolenorgard,591,3,0
1101263687317303296,Thu Feb 28 23:31:38 +0000 2019,floblepage,410,2,0
1101263391832899586,Thu Feb 28 23:30:27 +0000 2019,jcampanelliNYC,1272,22,0
1101263330340155393,Thu Feb 28 23:30:13 +0000 2019,pacificautism,1573,0,1
1101263324187189248,Thu Feb 28 23:30:11 +0000 2019,VillaPineapple,20245,6,8
1101262680180940800,Thu Feb 28 23:27:38 +0000 2019,BillUminski,420,108,0
1101262592327254017,Thu Feb 28 23:27:17 +0000 2019,AynRandTaughtMe,478,3,0
1101262561004191744,Thu Feb 28 23:27:09 +0000 2019,ClaudiadeCast13,490,0,0
1101262416858365952,Thu Feb 28 23:26:35 +0000 2019,babyblu85670030,493,24,0
1101262081192534018,Thu Feb 28 23:25:15 +0000 2019,radicaldreams25,1422,3,0
1101262050527977472,Thu Feb 28 23:25:07 +0000 2019,Gryphon_Agency,129,0,0
1101261770562461696,Thu Feb 28 23:24:01 +0000 2019,NWPPositiveAct,129,3,0
1101261624621568001,Thu Feb 28 23:23:26 +0000 2019,LindaBr67589020,123,108,0
1101261479276236800,Thu Feb 28 23:22:51 +0000 2019,LaylaElKhalifa1,10,1,0
1101261400649945088,Thu Feb 28 23:22:33 +0000 2019,RahelWeldeab,3934,10,0
1101261396459864064,Thu Feb 28 23:22:32 +0000 2019,AnneliMemedov,197,5,0
1101260198541312001,Thu Feb 28 23:17:46 +0000 2019,TaraLynC,115,0,2
1101259978265034752,Thu Feb 28 23:16:53 +0000 2019,thebuscanada,203,0,0
1101259791597531136,Thu Feb 28 23:16:09 +0000 2019,igob4u2,4403,24,0
1101259762757451776,Thu Feb 28 23:16:02 +0000 2019,Refracted_Color,60,0,0
1101259755757031425,Thu Feb 28 23:16:00 +0000 2019,__The_Source__,465,0,0
1101259665596268544,Thu Feb 28 23:15:39 +0000 2019,Coadem,632,5,0
1101259548600483840,Thu Feb 28 23:15:11 +0000 2019,Sophia_YMCA,294,4,0
1101259505927512064,Thu Feb 28 23:15:01 +0000 2019,ArtEquality,67,0,0
1101259382396862464,Thu Feb 28 23:14:31 +0000 2019,__The_Source__,465,0,0
1101259156076421120,Thu Feb 28 23:13:37 +0000 2019,HealthyNerdCo,28,2,0
1101259038950608897,Thu Feb 28 23:13:09 +0000 2019,TheAuthor_BJM,4378,2,0
1101259032755617800,Thu Feb 28 23:13:08 +0000 2019,000l0lll000l,3039,108,0
1101259020151582720,Thu Feb 28 23:13:05 +0000 2019,ndygroup,837,2,5
1101258732774789120,Thu Feb 28 23:11:56 +0000 2019,Sarah_Jones_14,122,0,0
1101258002743517184,Thu Feb 28 23:09:02 +0000 2019,BuildingTradeAB,757,3,0
1101257841950679042,Thu Feb 28 23:08:24 +0000 2019,DionHarper15,1819,1,1
1101257757318148099,Thu Feb 28 23:08:04 +0000 2019,TrumpWasHere,6,3,0
1101257488601473024,Thu Feb 28 23:07:00 +0000 2019,USITA_forum,1430,0,0
1101257420020445185,Thu Feb 28 23:06:43 +0000 2019,tfrmwa,157,4,7
1101257346091704320,Thu Feb 28 23:06:26 +0000 2019,saveearth1928,1808,1,1
1101256918285336577,Thu Feb 28 23:04:44 +0000 2019,Charlotte_YMCA,4523,3,6
1101256832113356808,Thu Feb 28 23:04:23 +0000 2019,SoZooMe1,351,2,0
1101256801432018946,Thu Feb 28 23:04:16 +0000 2019,CMRitterActor,1167,15,0
1101256484103442435,Thu Feb 28 23:03:00 +0000 2019,tmamut,1028,6,0
1101256241085595653,Thu Feb 28 23:02:02 +0000 2019,GrahamHillActor,252,0,0
1101256149410680832,Thu Feb 28 23:01:41 +0000 2019,KapeciaResists,32098,2,7
1101256003121758208,Thu Feb 28 23:01:06 +0000 2019,johnmaeda,424689,6,0
